epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,884.228,1.62214,2.30328,1.94554,0.70132,0.48676,0.42008,0.23833,1.59701,1.87836,1.95895,0.000319827,0.000319827,0.000319827
61,899.667,1.64952,2.29503,1.94317,0.57047,0.44583,0.38264,0.22625,1.5535,1.89601,1.87607,0.000312214,0.000312214,0.000312214
62,915.043,1.66158,2.28332,1.95093,0.62754,0.35949,0.40047,0.23465,1.56435,2.09023,1.87072,0.000304601,0.000304601,0.000304601
63,930.514,1.65204,2.25719,1.95067,0.64286,0.5055,0.44644,0.27595,1.64216,1.97112,1.92321,0.000296988,0.000296988,0.000296988
64,945.96,1.63153,2.27464,1.92142,0.48263,0.37083,0.32413,0.185,1.53808,2.08318,1.88498,0.000289375,0.000289375,0.000289375
65,961.445,1.65475,2.30096,1.93081,0.62412,0.42836,0.36875,0.20256,1.57539,2.05651,1.89163,0.000281762,0.000281762,0.000281762
66,977.519,1.63859,2.27098,1.95319,0.54131,0.44583,0.40659,0.23466,1.50681,1.95529,1.88369,0.000274148,0.000274148,0.000274148
67,993.649,1.62535,2.24085,1.91677,0.65336,0.41177,0.45398,0.24933,1.62056,1.93428,1.91887,0.000266535,0.000266535,0.000266535
68,1009.54,1.6161,2.28659,1.91956,0.59409,0.48971,0.41188,0.23729,1.63966,1.89894,1.87169,0.000258922,0.000258922,0.000258922
69,1025.45,1.62287,2.24107,1.90343,0.62425,0.44634,0.47209,0.25793,1.53663,1.85896,1.80338,0.000251309,0.000251309,0.000251309
70,1041.47,1.62105,2.2215,1.90213,0.67809,0.37083,0.48826,0.30229,1.61203,1.91973,1.84317,0.000243696,0.000243696,0.000243696
71,1058.55,1.59288,2.18987,1.9051,0.64614,0.5088,0.45429,0.25509,1.52245,1.92657,1.81086,0.000236083,0.000236083,0.000236083
72,1075.61,1.59577,2.20458,1.89554,0.57347,0.51667,0.43022,0.2385,1.56842,1.92031,1.84585,0.00022847,0.00022847,0.00022847
73,1092.3,1.61261,2.18975,1.90562,0.58324,0.4001,0.38964,0.21039,1.53148,2.00373,1.82864,0.000220857,0.000220857,0.000220857
74,1108.6,1.61507,2.1927,1.91016,0.53755,0.51667,0.37922,0.22418,1.48739,1.90931,1.77619,0.000213244,0.000213244,0.000213244
75,1125,1.55388,2.15225,1.87757,0.58082,0.4186,0.39564,0.22056,1.63904,2.09883,1.9067,0.000205631,0.000205631,0.000205631
76,1140.86,1.54771,2.15982,1.87815,0.89319,0.32083,0.43692,0.24957,1.59972,2.05499,1.90805,0.000198018,0.000198018,0.000198018
77,1157.21,1.58902,2.16573,1.87681,0.77041,0.43297,0.49316,0.26706,1.5337,1.98503,1.83712,0.000190404,0.000190404,0.000190404
78,1173.9,1.58728,2.12208,1.88601,0.64005,0.46667,0.44903,0.24954,1.52106,2.05413,1.8176,0.000182791,0.000182791,0.000182791
79,1189.86,1.56697,2.12495,1.86512,0.61736,0.44583,0.40324,0.20745,1.58024,1.97633,1.86344,0.000175178,0.000175178,0.000175178
80,1205.95,1.5527,2.15093,1.86866,0.65601,0.41402,0.43785,0.24359,1.57786,2.12266,1.8368,0.000167565,0.000167565,0.000167565
81,1222.47,1.57319,2.10096,1.85422,0.61312,0.42015,0.37486,0.21696,1.48928,2.1559,1.80808,0.000159952,0.000159952,0.000159952
82,1238.51,1.57632,2.10115,1.8584,0.61145,0.44583,0.42787,0.2345,1.51237,2.14163,1.78799,0.000152339,0.000152339,0.000152339
83,1254.97,1.5355,2.08321,1.8376,0.79031,0.30595,0.46065,0.26415,1.60851,2.00937,1.87064,0.000144726,0.000144726,0.000144726
84,1270.91,1.55427,2.12773,1.85466,0.80992,0.31493,0.44885,0.27399,1.5328,2.00493,1.8321,0.000137113,0.000137113,0.000137113
85,1286.72,1.55773,2.05199,1.84157,0.62227,0.44146,0.4681,0.28005,1.44309,1.93651,1.75778,0.0001295,0.0001295,0.0001295
86,1302.52,1.53987,2.06964,1.8273,0.65661,0.32083,0.43551,0.26737,1.49926,2.03515,1.76574,0.000121887,0.000121887,0.000121887
87,1318.49,1.57089,2.11431,1.83991,0.61566,0.45286,0.46763,0.27368,1.48996,1.96981,1.80811,0.000114273,0.000114273,0.000114273
88,1334.75,1.54501,2.05797,1.8269,0.58995,0.33989,0.36799,0.20668,1.4813,2.00954,1.777,0.00010666,0.00010666,0.00010666
89,1350.76,1.51811,2.04329,1.81428,0.62643,0.34167,0.36221,0.19341,1.49828,2.12261,1.75625,9.90472e-05,9.90472e-05,9.90472e-05
90,1366.68,1.55624,2.06466,1.82977,0.59174,0.45171,0.44756,0.25804,1.48786,2.06854,1.78975,9.14341e-05,9.14341e-05,9.14341e-05
91,1411.04,1.51749,2.11489,1.84369,0.66446,0.44551,0.46577,0.25541,1.56235,1.94742,1.78948,8.3821e-05,8.3821e-05,8.3821e-05
92,1425.05,1.47396,2.00171,1.82752,0.67077,0.44354,0.42007,0.22991,1.55996,1.95252,1.80644,7.62079e-05,7.62079e-05,7.62079e-05
93,1439.64,1.45627,1.98329,1.79493,0.58618,0.4875,0.41848,0.23454,1.52075,1.90431,1.77353,6.85948e-05,6.85948e-05,6.85948e-05
94,1454.54,1.45194,1.94023,1.79827,0.59755,0.45247,0.41222,0.22285,1.58518,1.97339,1.81753,6.09817e-05,6.09817e-05,6.09817e-05
95,1469.2,1.43627,1.91339,1.7679,0.63854,0.44583,0.4203,0.23602,1.52451,1.93043,1.80305,5.33686e-05,5.33686e-05,5.33686e-05
96,1484.63,1.43874,1.91296,1.78382,0.60526,0.44583,0.41364,0.23199,1.55193,1.98124,1.80996,4.57555e-05,4.57555e-05,4.57555e-05
97,1500.01,1.42995,1.90703,1.77337,0.67308,0.43823,0.40878,0.22446,1.52795,1.98836,1.81461,3.81424e-05,3.81424e-05,3.81424e-05
98,1515.5,1.44523,1.91527,1.78813,0.64917,0.41618,0.41037,0.23753,1.55362,2.00242,1.81817,3.05293e-05,3.05293e-05,3.05293e-05
99,1530.39,1.39918,1.87326,1.75521,0.63681,0.43415,0.41447,0.23932,1.54369,1.99264,1.80833,2.29162e-05,2.29162e-05,2.29162e-05
100,1545.57,1.40088,1.8544,1.75385,0.60057,0.4269,0.4142,0.23951,1.51306,1.97392,1.7931,1.53031e-05,1.53031e-05,1.53031e-05
